target,ensembl_id,overall_association_score,genetic_association,genetic_literature,rna_expression,animal_model,known_drug
AKAP11,ENSG00000023516,0.1982388574865575,0.3226083133755323,0.0,0.0,0.0,0.0
SPRED1,ENSG00000166068,0.19184581613785218,0.3149638693012766,0.0,0.0,0.0,0.0
P4HA2,ENSG00000072682,0.1847899273423509,0.3039653988058105,0.0,0.0,0.0,0.0
SRPK3,ENSG00000184343,0.17927646916671033,0.2948961787608625,0.0,0.0,0.0,0.0
LRP4,ENSG00000134569,0.1620324714693371,0.25528675595149786,0.0,0.0,0.0,0.0
DAG1,ENSG00000173402,0.16171092067623175,0.2660021853006062,0.0,0.0,0.0,0.0
PKDCC,ENSG00000162878,0.16020521274584165,0.26094170419833856,0.0,0.0,0.0,0.0
STX19,ENSG00000178750,0.15882241398366254,0.26125081112460247,0.0,0.0,0.0,0.0
CCR3,ENSG00000183625,0.1553717969597064,0.2541014203003701,0.0,0.0,0.0,0.0
MARK3,ENSG00000075413,0.14269760030679082,0.23123685651564352,0.0,0.0,0.0,0.0
FOXL1,ENSG00000176678,0.14140775983870374,0.22060683763532113,0.0,0.0,0.0,0.0
SERPINF1,ENSG00000132386,0.14070264067325622,0.2279740491043579,0.0,0.0,0.0,0.0
TMCO5A,ENSG00000166069,0.13767370377947724,0.2264627887258816,0.0,0.0,0.0,0.0
HBQ1,ENSG00000086506,0.13264641022140167,0.21819327256084062,0.0,0.0,0.0,0.0
FOXC2,ENSG00000176692,0.13183746054083548,0.198758807875418,0.0,0.0,0.306761880474824,0.0
RYR1,ENSG00000196218,0.13168761588001013,0.19453785523571876,0.0,0.0,0.425353980818911,0.0
HOXC5,ENSG00000172789,0.12990271752043903,0.21368010640485413,0.0,0.0,0.0,0.0
LIN7C,ENSG00000148943,0.12644518353854234,0.18633975036198183,0.0,0.0,0.43305950367863827,0.0
CKB,ENSG00000166165,0.1237222181060597,0.19953677353831506,0.0,0.0,0.0,0.0
ETS2,ENSG00000157557,0.1231777862742049,0.20261810514968762,0.0,0.0,0.0,0.0
GREM2,ENSG00000180875,0.12197581376065876,0.18574959652264258,0.0,0.0,0.0,0.0
MEPE,ENSG00000152595,0.12158630865433784,0.1971069642752681,0.0,0.0,0.0,0.0
OPA1,ENSG00000198836,0.1203906376635416,0.19453785523571876,0.0,0.0,0.0,0.0
SUPT3H,ENSG00000196284,0.11991285174099062,0.19663960496154465,0.0,0.0,0.0,0.0
GAS5,ENSG00000234741,0.11734863709470414,0.0,0.0,0.0,0.5827289926226981,0.0
CBR1,ENSG00000159228,0.11591178927754274,0.19066609181986768,0.0,0.0,0.0,0.0
MIMS1,ENSG00000177150,0.11214242704795267,0.15587634873820375,0.0,0.0,0.562331867370899,0.0
UBA7,ENSG00000182179,0.10735589164853879,0.17537642830077824,0.0,0.0,0.0,0.0
ZDHHC6,ENSG00000023041,0.10679146339684145,0.17566384828074721,0.0,0.0,0.0,0.0
IGF1,ENSG00000017427,0.10600281406553741,0.0,0.0,0.0,0.0,0.0
ASB16,ENSG00000161664,0.10553556346594008,0.17162221316655396,0.0,0.0,0.0,0.0
IL6,ENSG00000136244,0.10527003389845234,0.0,0.0,0.0,0.0,0.0
GPR78,ENSG00000155269,0.10397494297531132,0.17103088605446193,0.0,0.0,0.0,0.0
BGLAP,ENSG00000242252,0.10377377793663277,0.0,0.0,0.0,0.0,0.0
CYP27B1,ENSG00000111012,0.1030813526177275,0.0,0.0,0.0,0.8388716563627832,0.0
GCG,ENSG00000115263,0.10097608727976116,0.0,0.0,0.0,0.0,0.0
CST3,ENSG00000101439,0.09995833812991622,0.0,0.0,0.0,0.0,0.0
CD40LG,ENSG00000102245,0.09860586458080721,0.0,0.0,0.0,0.7113769269509786,0.0
POSTN,ENSG00000133110,0.09858270867435986,0.0,0.0,0.0,0.5095238742015326,0.0
FHL2,ENSG00000115641,0.09842724811256057,0.0,0.0,0.0,0.8049672653124902,0.0
MESP2,ENSG00000188095,0.09806301519005237,0.0,0.0,0.0,0.8065310687936252,0.0
MALAT1,ENSG00000251562,0.09775896903855873,0.0,0.0,0.0,0.0,0.0
FBXL14,ENSG00000171823,0.09766850753699424,0.1606572786256342,0.0,0.0,0.0,0.0
PPARG,ENSG00000132170,0.09671246971297061,0.0,0.0,0.0,0.0,0.0
APPL1,ENSG00000157500,0.09547746498138733,0.0,0.0,0.0,0.0,0.0
PAX1,ENSG00000125813,0.09522583915584751,0.0,0.0,0.0,0.7831963730901729,0.0
LRP6,ENSG00000070018,0.09521639332301114,0.0,0.0,0.0,0.7308901959528201,0.0
TTR,ENSG00000118271,0.09484642930603417,0.0,0.0,0.0,0.0,0.0
RUNX2,ENSG00000124813,0.09481355270879953,0.05622122508079459,0.0,0.0,0.5339890697073494,0.0
FGF21,ENSG00000105550,0.09480161304311738,0.0,0.0,0.0,0.0,0.0
FGF2,ENSG00000138685,0.09445782500943051,0.0,0.0,0.0,0.45097826393824075,0.0
CDX1,ENSG00000113722,0.0940556922769091,0.0,0.0,0.0,0.7735723592753146,0.0
FGFR1,ENSG00000077782,0.09355938438293193,0.0,0.0,0.0,0.7243394999832505,0.0
TRAF6,ENSG00000175104,0.09303104634345614,0.0,0.0,0.0,0.0,0.0
PHC2,ENSG00000134686,0.09301549155502026,0.0,0.0,0.0,0.765017103266115,0.0
HOXC9,ENSG00000180806,0.09254198944135628,0.11402089794981192,0.0,0.0,0.6185966057163849,0.0
APOA1,ENSG00000118137,0.09229411249385767,0.0,0.0,0.0,0.0,0.0
HOXC4,ENSG00000198353,0.09113796746107419,0.044933058940516656,0.0,0.0,0.6920578994208774,0.0
CSRNP3,ENSG00000178662,0.09111777958950937,0.14988182856911342,0.0,0.0,0.0,0.0
HES7,ENSG00000179111,0.09108483982336892,0.0,0.0,0.0,0.7491382257751548,0.0
LEP,ENSG00000174697,0.09101784943610061,0.0,0.0,0.0,0.0,0.0
PCSK9,ENSG00000169174,0.09099261344478851,0.0,0.0,0.0,0.0,0.0
GLP1R,ENSG00000112164,0.09031394008138567,0.0,0.0,0.0,0.0,0.0
ALG12,ENSG00000182858,0.09022234144779892,0.14840890081939526,0.0,0.0,0.0,0.0
SMN1,ENSG00000172062,0.09011647888269184,0.0,0.0,0.0,0.6801063317229177,0.0
METTL14,ENSG00000145388,0.08953889519248467,0.0,0.0,0.0,0.0,0.0
CSNK2A2IP,ENSG00000283434,0.08931999180900772,0.14692460418179068,0.0,0.0,0.0,0.0
FGFR3,ENSG00000068078,0.0890700181594093,0.0,0.0,0.0,0.6881079470777771,0.0
OXT,ENSG00000101405,0.08894930992245738,0.0,0.0,0.0,0.0,0.0
CTHRC1,ENSG00000164932,0.08881925286787223,0.0,0.0,0.0,0.701166132819465,0.0
IAPP,ENSG00000121351,0.08863500835750397,0.0,0.0,0.0,0.6729374255221935,0.0
NOTCH1,ENSG00000148400,0.08824946995809552,0.0,0.0,0.0,0.6880463667310374,0.0
PHEX,ENSG00000102174,0.08759315705783736,0.0,0.0,0.0,0.6973220456100852,0.0
MACF1,ENSG00000127603,0.0875444190348409,0.0,0.0,0.0,0.0,0.0
GCK,ENSG00000106633,0.08753293536065669,0.0,0.0,0.0,0.3331460770911684,0.0
ALPL,ENSG00000162551,0.08745385812892485,0.0,0.0,0.0,0.6673594104714771,0.0
NKX3-2,ENSG00000109705,0.08703429080397752,0.0,0.0,0.0,0.715823997944415,0.0
IL18,ENSG00000150782,0.08701835028910353,0.0,0.0,0.0,0.0,0.0
DHFR2,ENSG00000178700,0.0869973212593663,0.14310398749520972,0.0,0.0,0.0,0.0
APOB,ENSG00000084674,0.08695708882403672,0.0,0.0,0.0,0.0,0.0
KDM6B,ENSG00000132510,0.08666872189637562,0.0,0.0,0.0,0.31296277461046246,0.0
SMN2,ENSG00000205571,0.08666450037886597,0.0,0.0,0.0,0.6801063317229177,0.0
TBX6,ENSG00000149922,0.08664425801463177,0.0,0.0,0.0,0.7126161263340435,0.0
WNT3A,ENSG00000154342,0.08625767567525694,0.0,0.0,0.0,0.668527474369318,0.0
MEOX1,ENSG00000005102,0.08585545346467115,0.0,0.0,0.0,0.701569027410411,0.0
INS,ENSG00000254647,0.08579773925761416,0.0,0.0,0.0,0.0,0.0
USP7,ENSG00000187555,0.08578502121359523,0.0,0.0,0.0,0.0,0.0
HIF1A,ENSG00000100644,0.08573418158526028,0.0,0.0,0.0,0.0,0.0
LRG1,ENSG00000171236,0.08565526437671694,0.0,0.0,0.0,0.0,0.0
TLR4,ENSG00000136869,0.08555802711117459,0.0,0.0,0.0,0.0,0.0
RING1,ENSG00000204227,0.08529410272983337,0.0,0.0,0.0,0.7015116117239699,0.0
RARRES2,ENSG00000106538,0.08527205121767933,0.0,0.0,0.0,0.0,0.0
TP53,ENSG00000141510,0.0852182899844695,0.0,0.0,0.0,0.0,0.0
RARG,ENSG00000172819,0.08512291334114343,0.0,0.0,0.0,0.6841454605593964,0.0
ACVR2B,ENSG00000114739,0.08506997308018124,0.0,0.0,0.0,0.6900426594876946,0.0
BTG2,ENSG00000159388,0.08499145789327489,0.0,0.0,0.0,0.6990224728470823,0.0
GPT,ENSG00000167701,0.08498786438058838,0.0,0.0,0.0,0.0,0.0
MGP,ENSG00000111341,0.08485624278000091,0.0,0.0,0.0,0.43547265120582446,0.0
HOXA4,ENSG00000197576,0.0847310580873283,0.0,0.0,0.0,0.6968807833079963,0.0
E2F6,ENSG00000169016,0.08352576578623784,0.0,0.0,0.0,0.6717694417991515,0.0
MTHFR,ENSG00000177000,0.08351198991218282,0.0,0.0,0.0,0.0,0.0
MYF5,ENSG00000111049,0.08320057657854361,0.0,0.0,0.0,0.6812534999812249,0.0
SHBG,ENSG00000129214,0.08303283139082715,0.0,0.0,0.0,0.0,0.0
CCN2,ENSG00000118523,0.08282060428081356,0.0,0.0,0.0,0.6385242395227618,0.0
HIVEP3,ENSG00000127124,0.08260206274642207,0.0,0.0,0.0,0.5480327270802761,0.0
HMGCR,ENSG00000113161,0.08249606410563551,0.0,0.0,0.0,0.0,0.0
HOXB8,ENSG00000120068,0.08235117530496457,0.0,0.0,0.0,0.6773071509824621,0.0
NDRG2,ENSG00000165795,0.0821858334908643,0.0,0.0,0.0,0.6729076233480131,0.0
KAT2A,ENSG00000108773,0.0820839937086845,0.0,0.0,0.0,0.6652308083315065,0.0
TERT,ENSG00000164362,0.08195009329313561,0.0,0.0,0.0,0.5597826784407807,0.0
DLL3,ENSG00000090932,0.08188406290760379,0.0,0.0,0.0,0.6506679239501999,0.0
KLF3,ENSG00000109787,0.08163875264486017,0.0,0.0,0.0,0.0,0.0
PFKFB3,ENSG00000170525,0.08132194058053879,0.0,0.0,0.0,0.6627627781628692,0.0
TMEM64,ENSG00000180694,0.08127061004516592,0.0,0.0,0.0,0.3392253850672846,0.0
ATXN2,ENSG00000204842,0.0811166675973227,0.1328228279598093,0.0,0.0,0.0,0.0
QRFPR,ENSG00000186867,0.08101824860105872,0.0,0.0,0.0,0.6663443349091316,0.0
FSTL1,ENSG00000163430,0.08091817458929576,0.0,0.0,0.0,0.6241693046944915,0.0
BMI1,ENSG00000168283,0.08076340029717013,0.0,0.0,0.0,0.5708166224174316,0.0
GNAI3,ENSG00000065135,0.0807612058121255,0.0,0.0,0.0,0.6642302555604371,0.0
FBN2,ENSG00000138829,0.080731126118397,0.0,0.0,0.0,0.6526263764610254,0.0
FRMPD1,ENSG00000070601,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
KRTAP10-4,ENSG00000215454,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
RHBDF1,ENSG00000007384,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
