gene
FTO
FUBP3
FXYD4
FZD7
GABRB1
GAS1
GAS7
GBA
GDI2
GFRAL
GHR
GJA1
GLDC
GLDN
GLIS2
GLYAT
GMDS
GMDS-AS1
GNG12-AS1
GNG7
GNRH1
GOLIM4
GORAB
GPAT3
GPATCH1
GPBAR1
GPC6
GPR149
GPR182
GRB10
GREM2
GRID1
GRID2IP
GSTO2
GTF2I
GYPA
HABP2
HAO1
HCN4
HDAC4
HDAC5
HECW1
HECW2
HHAT
HHIP
HIPK1
HIST1H4C
HIVEP3
HLA-A
HMGA2
HMGCLL1
HNRNPUL1
HOTTIP
HOXA-AS3
HOXA10-HOXA9
HOXA11
HOXC9
HOXD11
HPCAL4
HRH1
HS3ST3B1
HS6ST1
HSP90AB3P
HSPA4
ICA1L
IDUA
IFNGR2
IGDCC4
IGF2BP2
IGFBP7
IGHMBP2
IKZF2
IL17RE
INMT-MINDY4
INPP5A
INPP5B
INSC
INSIG2
INTS13
IQGAP1
IRF2BP2
IRS1
IRS2
IRX5
ISL1
ISPD
ISYNA1
ITCH
ITGA1
ITGA9
ITGB2
ITGB5
ITGBL1
ITIH4
ITK
ITPR2
JAG1
JAZF1
JAZF1-AS1
JUP
KANK1
KAT5
KCND2
KCNE2
KCNH1
KCNMA1
KCNN3
KCNU1
KDF1
KDR
KIAA0355
KIAA0895L
KIAA1239
KIAA1549
KIAA1614
KIAA1671
KIAA2012
KIAA2018
KIF25
KIF25-AS1
KIF2A
KLF11
KLF12
KLF2
KLF4
KLF6
KLF9
KLHDC5
KLHL17
KLHL38
KMT2D
KREMEN1
L3MBTL3
LCE5A
LCORL
LDB3
LEKR1
LGR4
LHFPL3
LHX9
LIF
LIN28B-AS1
LIN9
LINC00113
LINC00222
LINC00269
LINC00310
LINC00326
LINC00474
LINC00536
LINC00540
LINC00581
LINC00583
LINC00616
LINC00624
LINC00824
LINC00840
LINC00880
LINC00886
LINC00928
LINC00942
LINC00954
LINC00977
LINC01091
LINC01104
LINC01117
LINC01121
LINC01138
LINC01214
LINC01220
LINC01254
LINC01258
LINC01331
LINC01335
LINC01370
LINC01428
LINC01448
LINC01478
LINC01482
LINC01497
LINC01505
LINC01512
LINC01517
LINC01547
LINC01558
LINC01571
LINC01581
LINC01603
LINC01619
LINC01626
LINC01700
LINC01731
LINC01748
LINC01752
LINC01812
LINC01835
LINC01877
LINC02055
LINC02220
LINC02341
LITAF
LLGL2
LMNA
LMX1B
LNX1
LOC100272217
LOC100287592
LOC100422212
LOC100506368
LOC100506403
LOC100506797
LOC100507065
LOC100507144
LOC100507557
LOC100507616
LOC100507661
LOC101926940
LOC101927087
LOC101927334
LOC101927437
LOC101927620
LOC101927668
LOC101927709
LOC101927769
LOC101928306
LOC101928489
LOC101928614
LOC101928820
LOC101928858
LOC101928880
LOC101928985
LOC101929095
LOC101929128
LOC101929151
LOC101929159
LOC101929224
LOC101929268
LOC101929413
LOC101929710
LOC101929723
LOC102723481
LOC102723505
LOC102723886
LOC102724152
LOC102724957
LOC105369891
LOC105369893
LOC105369911
LOC105370177
LOC105370605
LOC105375787
LOC105376360
LOC105376382
LOC105376480
LOC157273
LOC284241
LOC285593
LOC339593
LOC340090
LOC348751
LOC387810
LOC389602
LOC400867
LOC440390
LOC440704
LOC441178
LOC494127
LOC642366
LOC728084
LPAR3
LRFN2
LRMDA
LRP4
LRP4-AS1
LRP5
LRP6
LRRC1
LRRC4C
LRRC8C
LRRIQ1
LTBP3
LUC7L
LY86-AS1
LYZL2
MACF1
MACROD2
MAML1
MAP2K2
MAP4K5
MARCH2
MARCHF1
MARK3
MBL2
MBL2/DKK1
MBNL1
MC2R
MC4R
MCPH1
MECOM
MED13L
MEF2C
MEIS1
MEOX2
MEPE
MERTK
MET
METTL7A
MGMT
MGP
MICA
MICALL1
MIR100HG
MIR1273E
MIR1303
MIR148A
MIR193A
MIR2054
MIR3975
MIR4291
MIR4418
MIR4435-2HG
MIR4757
MIR548F3
MIR548H3
MIR5580
MIR588
MIR6085
MIR802
MIR8062
MIR8068
MIR8079
MKLN1
MKX
MKX-AS1
MLKL
MLPH
MMD
MMP14
MMP16
MMP2
MMP9
MPDZ
MPP6
MPP7
MRC2
MRPL28
MRPS28
MS4A6A
MSH6
MSMO1
MSRB3
MTA1
MTOR
MUSK
MYEOV
MYH9
MYLIP
MYLK4
MYO1A
MYOM2
MYRF
N4BP2L2
NAA38
NAB1
NAGLU
NAV1
NAV3
NCAM1
NCOA7
NDP
NDUFA12
NEBL
NEGR1
NEK6
NFAT5
NFATC1
NFE2L1
NFIA
NFIC
NFIX
NGEF
NKAIN2
NOS1AP
NPR2
NRAP
NT5C2
NTAN1
NTN1
NUFIP2
NXN
OSBPL1A
OSBPL2
OSBPL3
OSGIN2
OSM
OTUD4
OTUD7B
PALMD
PAPPA
PAPSS2
PARM1
PBX1
PCAT1
PCGF3
PCM1
PCNT
PCNX3
PCNXL2
PCOLCE2
PDE10A
PDE11A
PDE7B
PDE8A
PDGFC
PDHX
PEBP4
PELO
PEX14
PGS1
PHF13
PHF2
PHLDB1
PHOX2B
PIEZO1
PJA2
PKD1
PKD2L1
PKDCC
PKIA
PKN2
PKNOX2
PLAG1
PLAGL1
PLB1
PLCH1
PLCXD2
PLEKHA1
PLEKHG4
PLEKHM3
PLPP1
PLPP3
PLPPR3
PLXDC2
PLXNA4
POLG2
POLR2A
PPARD
PPARG
PPCDC
PPM1H
PPP1CB
PPP2CB
PPP6R2
PRCAT47
PRELID1
PRKAR2A
PRKCE
PRKD2
PRKD3
PRPF40A
PRRX1
PRSS23
PRTG
PSD3
PSEN2
PSMB3
PTBP2
PTCH1
PTPDC1
PTPRD
PTPRJ
PTPRVP
PTPRZ1
PTS
PTX4
PURG
PUS1
PXK
RAB11FIP3
RAB11FIP4
RAB18
RAB28
RAB35
RAB4A
RAB5A
RAD51B
RAET1G
RANGAP1
RAP1A
RAP1B
RAP1GAP
RARB
RASGRF2
RASSF8
RBM5
RBMS3
RBPJ
RERE
REST
RFNG
RFX2
RGCC
RGMA
RGS9
RHCE
RHOJ
RHPN2
RIN2
RIPK3
RNF212
RNF216
RNU5F-1
RNU6ATAC
RPRM
RPS12
RPS6KA5
RREB1
RSL1D1
RSPO2
RSPO3
RTDR1
RUNX1
RUNX1T1
SALL1
SAMD12-AS1
SAMD8
SATB2
SAV1
SBNO2
SCG2
SCNN1G
SCYL1
SDHAF3
SEH1L
SEM1
SEMA3A
SEMA3D
SEMA3E
SEMA3F-AS1
SEMA6D
SEPT11
SEPT5
SEPT9
SERPINC1
SERPINI2
SERTAD2
SETBP1
SF3A3
SFMBT2
SFRP4
SGCA
SGCZ
SGIP1
SH3RF3
SHBG
SHFM1
SLC14A2
SLC1A3
SLC22A23
SLC25A13
SLC27A5
SLC28A1
SLC29A1
SLC37A2
SLC38A9
SLC4A2
SLC4A4
SLC5A11
SLC7A11-AS1
SLC8A1
SLCO1B1
SLITRK6
SLX4IP
SMAD3
SMAD7
SMAD9
SMARCAD1
SMARCD3
SMG1
SMG6
SMOC1
SNX13
SNX29
SOBP
SOGA3
SON
SORCS2
SORL1
SOST
SOX5
SOX6
SOX9
SP7
SPAG9
SPATA13
SPEN
SPG7
SPIDR
SPIN3
SPP2
SPTA1
SPTBN1
SRP54
SSH2
SSPN
SSTR5-AS1
ST3GAL1
ST5
ST6GAL1
STARD3NL
STAT5A
STK10
STK3
STT3A-AS1
STXBP5
STXBP5-AS1
SULT1E1
SUN2
SUPT3H
SUSD5
SYN2
SYN3
SYNE1
SYNPO2
TACR3
TANC1
TBC1D8
TBPL2
TBX15
TBX3
TBX4
TBXAS1
TCF4
TCF7L1
TCF7L2
TCIRG1
TEAD1
TET2
TEX41
TFEC
TFRC
TGFA
TGFB2
TGFBR2
TGFBR3
THADA
THBS3
THEMIS
THRB
THSD7B
TIAM2
TIMP2
TLE3
TLK2
TMCO5A
TMED10
TMEM119
TMEM135
TMEM18
TMEM26
TMEM263
TMEM43
TMEM44
TMEM92
TMTC2
TMX2-CTNND1
TNFRSF11A
TNFRSF11B
TNFRSF19
TNFSF11
TNKS
TPCN2
TPD52L1
TRABD2B
TRIB2
TRIM2
TRIM27
TRIM71
TRMT11
TRMU
TRPC4AP
TRPS1
TSPAN12
TSPAN9
TTC28-AS1
TTC41P
TTC9
TULP4
TWISTNB
TXLNB
TXNDC9
UBAP2
UBE2E3
UBE2L3
UBE3D
UBTFL8
UHMK1
UROC1
USP3
USP31
USP36
USP8
UTRN
VAPA
VEGFA
VPS13B
VTI1A
VTN
VTRNA2-1
VWA8
WDR41
WDR86-AS1
WIPF3
WLS
WNT1
WNT16
WNT2B
WNT4
WNT7B
WRN
WWC2
XBP1
XKR9
XRCC4
XRN1
YAP1
ZAN
ZBED4
ZBED5-AS1
ZBTB10
ZBTB17
ZBTB25
ZBTB38
ZBTB40
ZBTB46
ZBTB7C
ZCCHC24
ZFAT
ZFHX3
ZFHX4-AS1
ZFP36L2
ZFR2
ZHX3
ZKSCAN5
ZNF318
ZNF366
ZNF408
ZNF423
ZNF436
ZNF438
ZNF460
ZNF469
ZNF484
ZNF638
ZNF664-FAM101A
ZNF689
ZNF704
ZNF75A
ZNF783
ZNF800
ZNF827
ZNRF3
ZZEF1
